iteration,elapsed_ms,energy,max_violation,avg_violation,min_phi,rms_offset,rms_normal,rms_landmark,rms_guide,max_control,num_violating
144,992.522,0.0640408472,0,0,0.0284812208,0.0840024725,0,0.0112353992,0,20,0
145,993.8978,0.0639155791,0,0,0.0283130985,0.0840009898,0,0.0111519918,0,20,0
146,995.2958,0.0637896733,0,0,0.0285346843,0.0839998201,0,0.0110823922,0,20,0
147,997.7302,0.0636609674,0,0,0.0282265265,0.0839977264,0,0.0110091958,0,20,0
148,1000.3524,0.0635307949,0,0,0.0286947563,0.0839956552,0,0.0109551549,0,20,0
149,1002.6881,0.0634005125,0,0,0.0279797092,0.0839927867,0,0.010883945,0,20,0
150,1004.1096,0.0632669516,0,0,0.0291479714,0.083990857,0,0.0108522791,0,20,0
151,1005.5195,0.063133922,0,0,0.0272118095,0.0839883015,0,0.010766468,0,20,0
152,1006.9377,0.0630028243,0,0,0.0304810237,0.0839853734,0,0.0107908379,0,20,0
153,1008.3274,0.0628843105,0.000285286456,1.4042611e-07,0.0247147139,0.0839820206,0,0.010637966,0,20,1
154,1009.7051,0.06284179,0,0,0.0304825548,0.0839790627,0,0.0109033426,0,20,0
155,1011.1518,0.0628256143,0.00635642,3.12881093e-06,0.0186435804,0.0839754343,0,0.0105036236,0,20,1
156,1013.0965,0.0627515023,0,0,0.0304854047,0.0839738026,0,0.0110129407,0,20,0
157,1014.6228,0.0624166242,0,0,0.029100487,0.0839714706,0,0.0105984062,0,20,0
158,1016.1445,0.0623390994,0,0,0.0279767234,0.0839700028,0,0.0105587803,0,20,0
159,1017.7686,0.0622598823,0,0,0.0287539251,0.0839678571,0,0.0105561223,0,20,0
160,1019.149,0.0621784819,0,0,0.0281480551,0.0839661807,0,0.0105274487,0,20,0
161,1020.5376,0.0620940398,0,0,0.0286485907,0.083963789,0,0.010519797,0,20,0
162,1021.9156,0.0620104436,0,0,0.0281991847,0.0839616433,0,0.010494777,0,20,0
163,1023.3053,0.0619229516,0,0,0.0286280848,0.0839594677,0,0.0104867155,0,20,0
164,1024.6825,0.0618336034,0,0,0.0281922258,0.0839575753,0,0.0104624908,0,20,0
